state,year,year_gdp,hc-key
Johor,2020,128078.493,my-jh
Kedah,2020,46044.173,my-kh
Kelantan,2020,25188.435,my-kn
Melaka,2020,41027.639,my-me
Negeri Sembilan,2020,46336.009,my-ns
Pahang,2020,54883.466,my-ph
Pulau Pinang,2020,92695.502,my-pg
Perak,2020,74267.228,my-pk
Perlis,2020,5779.543,my-pl
Selangor,2020,326824.299,my-sl
Terengganu,2020,33990.984,my-te
Sabah,2020,77836.724,my-sa
Sarawak,2020,127559.034,my-sk
W.P. Kuala Lumpur,2020,217456.203,my-kl
W.P. Labuan,2020,7613.797,my-la
Johor,2021,131314.846,my-jh
Kedah,2021,47517.775,my-kh
Kelantan,2021,25801.597,my-kn
Melaka,2021,41904.895,my-me
Negeri Sembilan,2021,47789.743,my-ns
Pahang,2021,55407.893,my-ph
Pulau Pinang,2021,99124.949,my-pg
Perak,2021,76932.3,my-pk
Perlis,2021,5869.705,my-pl
Selangor,2021,344013.152,my-sl
Terengganu,2021,35244.557,my-te
Sabah,2021,79005.88,my-sa
Sarawak,2021,131585.066,my-sk
W.P. Kuala Lumpur,2021,219722.78,my-kl
W.P. Labuan,2021,7651.116,my-la
Johor,2022,142073.142,my-jh
Kedah,2022,50947.135,my-kh
Kelantan,2022,26899.787,my-kn
Melaka,2022,45499.587,my-me
Negeri Sembilan,2022,50849.277,my-ns
Pahang,2022,61410.195,my-ph
Pulau Pinang,2022,112146.707,my-pg
Perak,2022,80222.899,my-pk
Perlis,2022,6206.267,my-pl
Selangor,2022,384908.091,my-sl
Terengganu,2022,37317.527,my-te
Sabah,2022,81940.322,my-sa
Sarawak,2022,140176.337,my-sk
W.P. Kuala Lumpur,2022,239836.471,my-kl
W.P. Labuan,2022,7958.17,my-la
