state,year,year_population
Johor,2020,12798683.100000001
Kedah,2020,6803468.699999999
Kelantan,2020,5721859.5
Melaka,2020,3186892.8
Negeri Sembilan,2020,5079669.0
Pahang,2020,3830519.6999999997
Perak,2020,7967271.899999999
Perlis,2020,909440.7000000001
Pulau Pinang,2020,5555396.699999999
Sabah,2020,10912689.899999999
Sarawak,2020,7831971.0
Selangor,2020,22326244.5
Terengganu,2020,3668605.5
W.P. Kuala Lumpur,2020,6326663.699999999
W.P. Labuan,2020,303559.19999999995
W.P. Putrajaya,2020,347688.6
Johor,2021,12831840.0
Kedah,2021,6868066.800000001
Kelantan,2021,5785061.1
Melaka,2021,3206364.0
Negeri Sembilan,2021,5112147.6
Pahang,2021,3843168.0
Perak,2021,8030234.100000001
Perlis,2021,918019.2000000001
Pulau Pinang,2021,5553681.0
Sabah,2021,10893218.7
Sarawak,2021,7870115.399999999
Selangor,2021,22391520.9
Terengganu,2021,3737034.0
W.P. Kuala Lumpur,2021,6269008.199999999
W.P. Labuan,2021,305913.30000000005
W.P. Putrajaya,2021,367319.4
Johor,2022,12858014.399999999
Kedah,2022,6904655.100000001
Kelantan,2022,5843235.300000001
Melaka,2022,3218892.5999999996
Negeri Sembilan,2022,5152566.300000001
Pahang,2022,3855018.3000000003
Perak,2022,8026124.399999999
Perlis,2022,925041.6000000001
Pulau Pinang,2022,5556912.9
Sabah,2022,10900959.3
Sarawak,2022,7895451.899999999
Selangor,2022,22504278.299999997
Terengganu,2022,3787786.8000000003
W.P. Kuala Lumpur,2022,6260509.5
W.P. Labuan,2022,308985.6
W.P. Putrajaya,2022,373025.1
Johor,2023,13089993.0
Kedah,2023,6982180.800000001
Kelantan,2023,5929419.300000001
Melaka,2023,3279381.0
Negeri Sembilan,2023,5243777.699999999
Pahang,2023,3908205.0
Perak,2023,8109236.100000001
Perlis,2023,934378.2000000001
Pulau Pinang,2023,5655226.5
Sabah,2023,11468297.399999999
Sarawak,2023,8010603.300000001
Selangor,2023,22999158.0
Terengganu,2023,3860564.4000000004
W.P. Kuala Lumpur,2023,6379451.4
W.P. Labuan,2023,317444.4
W.P. Putrajaya,2023,379768.19999999995
